date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason
2026-05-29,25.7,25.85,25.65,25.75,247374,6372279,6136,富爾特,,0.1463964767932637,0.103358308296483,0.0430381684967806,25.402688161074625,24.98530316233714,24.558090136726708,55.54417369270232,11.507059568916048,0.5943264451930882,451833.4,11436323.2,25.95,24.55,0.1445401781550442,0.1479246065525836,0.0,0.005859375,25.6,0.8404056951115624,26.102663674521324,25.262500000000045,24.422336325478767,0.7901220409688207,0.0665146897196458,82.75862068965516,78.69731800766324,8828178.0,9023550.8,-16.666666666666668,86.28181253879596,53.27843359700736,26.0,25.725,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0583517947481986,0.0,0.0,False,False,True,True,0.5474894064936323,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,6,False,False,621.1467741590325,3.5,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, mfi_strong",,
2026-05-29,781.0,792.0,768.0,784.0,3939440,3066166240,6139,亞翔,,36.21850226599577,32.92259460527152,3.2959076607242466,744.2345664891659,670.6908844466576,602.3939596663787,59.66462057856335,27.2606097146245,42.97908327951629,5289704.1,3925987288.25,826.0,693.0,0.8759291281824797,0.728982052662353,0.0195058517555266,0.0155440414507772,772.0,1.0370795449663668,828.047697518794,736.3,644.5523024812059,0.759952027625701,0.2492128141214019,52.41379310344828,61.97576887232026,395309501.0,387815523.45,-36.31578947368421,72.27138643067826,57.31062805876187,661.5,624.75,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0388459429926719,0.0,0.0,False,False,True,True,0.7447373095973365,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,-1,False,10,True,False,1090.823388511331,9.9,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",long_upper_shadow,
2026-05-29,44.2,47.45,42.2,46.0,10248368,461390647,6141,柏承,,3.20293340386835,2.126178887882527,1.0767545159858232,34.97937765050799,28.400006603063545,22.890105127866377,73.90685552689557,25.784945027017528,3.182828608515186,3547925.8,126355159.75,43.2,28.25,0.8661296378898518,1.2879956360897131,0.3529411764705883,0.0648148148148146,43.2,1.367796251476793,43.64070008210352,34.44500000000001,25.249299917896494,1.1282827787352536,0.5339352638759478,90.90909090909088,96.9696969696967,114642579.0,86835573.35,-5.967078189300422,228.75404955783216,83.44769267049514,29.25,23.95,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,0.2945893817223897,0.0,0.0,False,False,True,True,2.888551953369487,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,-1,False,14,False,False,1604.1294027329511,78.1,False,False,False,False,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
2026-05-29,8.15,8.34,8.1,8.27,520379,4300197,6142,友勁,,-0.2591304274416419,-0.2989841445435631,0.0398537171019211,8.3375347514963,8.890312132698192,9.189905977224432,43.84531717208901,19.83868358006124,0.2765443270462968,737775.3,6171908.15,9.05,7.83,-0.5921420828007307,-0.3865634762806921,0.0024242424242424,0.014723926380368,8.15,1.2801284078011663,9.071839630771256,8.333000000000016,7.594160369228776,0.457365578823747,0.1773286045292784,72.46376811594189,53.62318840579732,-5124220.0,-2924108.45,-51.4563106796117,-25.362318840580198,43.48933778586866,9.485,9.815,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0559275523239561,0.0,0.0,False,False,False,False,0.7053353507497472,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,False,2,False,False,221.29928185516303,5.0,False,True,False,True,"market_above_ma60, avoid_chase",,close_below_ema20
2026-05-29,15.3,15.45,15.0,15.3,1005560,15258575,6152,百一,,-0.1088840826908352,-0.1956127356831999,0.0867286529923646,15.239011543578773,15.44799052511868,14.467130522349496,49.712822238425375,13.48831956965288,0.8602621223843087,1883888.1,28800157.5,16.1,14.8,0.5251363205474113,-0.5462430770209372,-0.0496894409937889,0.02,15.0,0.8547091142882275,16.47432389114002,14.972500000000014,13.470676108860008,0.6090340891272502,0.2006109722678249,25.00000000000003,29.814814814815083,43144587.0,41786483.55,-53.3333333333333,27.344119595042056,63.40479341924666,17.8375,17.35,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.1080412357419875,0.0,0.0,False,False,False,True,0.5337684334860441,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,5,False,False,533.0218803303146,8.4,False,False,False,False,"ema60_gt_ema120, market_above_ma60, avoid_chase, obv_uptrend, mfi_strong",,
2026-05-29,17.85,18.05,17.7,17.9,3191622,57115099,6153,嘉聯益,,0.0919384300522203,0.1405531490586401,-0.0486147190064197,18.10898774124736,17.561526096437984,16.794328980165943,48.899374389332245,14.77159985658922,1.000265921031499,5105457.35,93829600.5,19.35,16.8,-0.0462008550480106,0.2794529008969079,-0.074935400516796,0.0170454545454543,17.6,1.2362949045235083,19.37732722363618,18.14750000000004,16.917672776363894,0.3993761094065424,0.135536820348383,26.3157894736842,38.05120910384115,163934456.0,169006429.2,-56.75675675675681,-49.70360237118099,50.70340078277884,19.075,18.05,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.1332871952649946,0.0,0.0,False,False,True,True,0.6251392933485186,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,-1,False,6,True,False,617.6942732635749,8.4,False,True,False,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, mfi_strong",long_upper_shadow,close_below_ema20
2026-05-29,70.6,70.8,61.9,62.8,17534330,1128274792,6155,鈞寶,,3.741792678164117,2.790764119930198,0.9510285582339192,55.75971585520862,50.85972205343775,46.6265286476805,65.66547576695734,24.91454374469968,4.694325933602001,8897710.7,512113315.95,64.5,49.3,1.54567583269141,0.4592064261543411,0.0261437908496731,-0.0263565891472868,64.5,1.5067424890456964,65.18049496675224,54.35249999999997,43.52450503324769,0.8900768344434206,0.3984359492848454,62.96296296296296,72.63437027030402,64516877.0,40638065.55,-36.44646924829158,152.20293724966643,83.41786857189973,48.212500000000006,50.2,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0322080038985255,0.0,0.0,False,False,True,True,1.9706563397256784,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,-1,False,11,True,False,1201.400306752104,33.3,False,False,False,False,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",
2026-05-29,12.25,12.25,12.0,12.1,532526,6444295,6164,華興,,-0.0419097448419698,-0.0592083833821969,0.017298638540227,12.175573027970678,12.192191478022798,11.935909561599043,48.21007556409376,13.133538923448508,0.4496312428863381,626696.8,7781589.1,13.0,11.65,-0.1285160266621884,0.0089084750702184,-0.0396825396825396,-0.0041152263374486,12.15,0.92316514120414,12.902772439985474,12.179999999999996,11.457227560014518,0.4446575467088896,0.1186818456462197,33.333333333333286,37.54789272030697,14562067.0,15828453.85,-62.06896551724143,-26.239067055393324,47.42799412702157,12.7875,12.45,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0980343344307382,0.0,0.0,False,False,False,True,0.8497346723327771,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,False,3,False,False,311.8274522037025,5.6,False,True,False,True,"ema60_gt_ema120, market_above_ma60, avoid_chase",,close_below_ema20
2026-05-29,48.35,49.15,48.35,48.5,555204,27068861,6165,浪凡,,-0.1047167748227977,0.1609612647185622,-0.2656780395413599,48.94624050949317,48.09050272745169,48.05653393222437,48.13630693210839,22.714821515931703,1.5029595991800937,970853.35,49449580.3,53.1,47.75,-0.4448501218677327,0.2423325652008229,-0.019211324570273,0.0062240663900414,48.2,0.3240827224802368,52.72173501042799,49.617500000000106,46.51326498957222,0.3200039629335166,0.1251266190528696,35.55555555555543,25.18518518518492,37929978.0,37316329.45,-80.48780487804882,-52.07986072526577,30.425087257065968,46.9875,44.65,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0775631193184717,0.0,0.0,False,False,True,True,0.5718721576229819,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,-1,False,8,True,False,890.6772311603142,4.6,False,True,False,True,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, adx_trending, kd_golden_cross, obv_uptrend, above_ichimoku_cloud",long_upper_shadow,close_below_ema20
2026-05-29,135.0,135.0,128.0,132.0,2365202,309577170,6166,凌華,,14.74605044877164,13.36955087346242,1.3764995753092215,112.4210238884665,88.92420237791414,77.91976247527744,79.17993420406108,69.87874620803257,7.378967966353303,4896569.9,531877805.7,136.0,112.0,2.960110975748956,1.448709560583587,0.0393700787401574,0.0193050193050192,129.5,0.948243530564544,146.53061800644122,109.41499999999996,72.29938199355871,0.8042519727959334,0.6784374721279763,62.31884057971015,69.89966555183916,67891899.0,44670736.5,-25.0965250965251,94.77475985425642,83.80070582941588,69.875,68.85,84981.37599999997,True,0.0583517947481986,0.0,0.0,0.0,0.0,0.0,0.0,-0.0189817160080412,0.0,0.0,False,False,True,True,0.4830324182648755,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,-1,False,10,True,False,1132.8108987898772,13.0,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",open_high_close_low,
