rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,sma5,sma10,grade,entry_reason,limit_down_streak,expected_hold_days,momentum_decay_signal,estimated_sl_days
70,3033,威健,,1222.7909118618063,False,50.7,0.7170745889077377,69.44299096500583,47.5694241777928,2.0,0.0,0.0,-1,11,,-0.119492582050636,-0.0136186770428015,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
71,3504,揚明光,,1217.6980598123885,False,77.6,0.6054513797767243,59.21131274000479,37.941750610180016,5.0,0.0,1.0,-1,11,,-0.1629820459555867,-0.0571081409477521,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
72,4906,正文,,1217.2529934299848,False,44.75,1.3517277018876026,67.09600039125317,25.3071494650838,1.0,0.0,1.0,-1,11,,0.0842856694602505,0.190159574468085,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
73,3209,全科,,1215.389026606366,False,81.4,0.8814356116182908,76.25117766222976,52.80308663199211,2.0,0.0,0.0,-1,11,,-0.0622841614180909,0.0435897435897436,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
74,3019,亞光,,1211.2347908579643,False,149.5,0.8775606764224042,56.52486448357658,25.652437786706276,4.0,0.0,0.0,-1,11,,-0.1319325369296586,-0.0260586319218241,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
75,3023,信邦,,1210.8162200683223,False,312.0,0.521182298849914,61.32078172091373,23.39112860202356,4.0,0.0,0.0,-1,11,,-0.0778673152220026,0.0280065897858319,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,
76,2385,群光,,1202.3858642196749,False,135.5,1.4655594706660218,62.59795957912281,17.870189196677373,1.0,0.0,10.0,-1,11,,-0.0513991968366283,0.0544747081712062,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, obv_uptrend, dealer_buy_3d, cci_momentum, mfi_strong, above_ichimoku_cloud",,,,
77,2451,創見,,1200.1351461889271,False,321.0,0.8074732631865843,58.54483610311024,23.9321336216573,0.0,0.0,4.0,-1,11,,-0.0687172006459606,0.0371567043618739,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,,,
78,3532,台勝科,,1146.917458687826,False,290.5,2.183442414246087,68.74028243188582,34.30789463252305,0.0,0.0,0.0,-1,10,,0.3077513991284184,0.413625304136253,,,,D,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, above_ichimoku_cloud",,,,
79,3443,創意,,1140.4775118792818,False,5100.0,1.0341482259253545,59.80615089470587,39.974234453059296,0.0,7.0,0.0,-1,10,,0.0016179516696899,0.1074918566775244,,,,D,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",,,,
