rank,stock_id,name,industry_category,entry_score,entry_signal,close,volume_ratio,rsi14,adx14,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,f_score,condition_count,margin_change_5d,relative_strength_5d,return_5d,revenue_yoy,entry_reason,limit_down_streak
54,6291,沛亨,,918.424272152944,False,679.0,1.342427215294406,75.00012823700234,42.78595047450739,0.0,2.0,1.0,-1,12,0.0,0.1967313845493983,0.2550831792975969,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",0
55,8064,東捷,,918.1645755438856,False,143.0,1.3164575543885573,63.56594931986896,51.33460501401456,0.0,0.0,1.0,-1,12,0.0,0.0208934882706692,0.0792452830188679,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",0
56,6292,迅德,,908.47797937467,False,69.9,4.847797937466993,81.20979546882161,39.00305952434695,0.0,0.0,0.0,-1,12,0.0,0.2313161019307681,0.2896678966789667,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
57,6862,三集瑞-KY,,907.0915216762368,False,224.5,1.2091521676236898,70.90231121800625,14.77322156782297,8.0,0.0,2.0,-1,12,0.0,0.1294788930824892,0.1878306878306879,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",0
58,6488,環球晶,,900.6587527768612,False,1015.0,1.0658752776861202,75.38946664350394,31.615643965987005,1.0,3.0,1.0,-1,12,0.0,0.3572688468138656,0.4156206415620642,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",0
59,8071,能率網通,,900.0016279651065,False,21.3,2.0001627965106485,65.19654373326614,35.58698084070969,1.0,0.0,0.0,-1,12,0.0,0.0039923449026741,0.0623441396508728,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",0
60,6214,精誠,,897.4064436906847,False,131.0,1.240644369068469,66.76894271986382,32.1031727250767,2.0,2.0,3.0,-1,13,0.0,-0.0506594870558909,0.0076923076923076,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0
61,5215,科嘉-KY,,897.0181799377148,False,49.0,0.7018179937714752,76.3430492271961,59.05053067499675,3.0,0.0,0.0,-1,12,0.0,0.0173891492693645,0.0757409440175631,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",0
62,7791,皇家可口,,895.4659852923235,False,68.0,1.5465985292323423,73.5003618406482,25.31369304898187,0.0,0.0,0.0,-1,12,0.0,0.0175975723404089,0.0759493670886075,0.0,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
63,3607,谷崧,,891.4377027234249,False,15.65,1.6437702723424894,68.1637944136038,16.451344101010186,10.0,0.0,1.0,-1,13,0.0,-0.0115290522732822,0.0468227424749163,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, foreign_buy_3d, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
64,6902,GOGOLOOK,,889.2484017417028,False,143.0,0.9248401741702712,74.77263066739476,51.15066814592564,5.0,0.0,0.0,-1,12,0.0,0.0458953094989056,0.1042471042471042,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, foreign_buy_3d, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
65,6285,啟碁,,887.8995188883213,False,319.0,0.7899518888321228,69.77702200615666,43.64316904896381,1.0,4.0,1.0,-1,12,0.0,0.019350907954504,0.0777027027027026,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",0
66,5228,鈺鎧,,887.6359636787099,False,64.0,0.2635963678709952,81.92228211240061,48.18117470810443,0.0,0.0,4.0,-1,12,0.0,0.1819582827711812,0.2403100775193798,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0
67,6870,騰雲,,886.6686717184105,False,266.0,2.1668671718410395,84.18011957802088,32.17909630888901,0.0,0.0,0.0,-1,12,0.0,0.0735630988688227,0.1319148936170213,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
68,3481,群創,,886.2796440876679,False,51.0,1.1279644087667902,71.71445738373437,45.64405881755268,1.0,2.0,1.0,-1,12,0.0,0.0838654504925628,0.1422172452407615,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",0
69,3652,精聯,,882.3030741912087,False,35.1,2.730307419120874,77.99731939102514,33.06535897816561,0.0,0.0,0.0,-1,12,0.0,0.0612654301321842,0.1196172248803828,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
70,5328,華容,,873.0289896687483,False,39.6,1.302898966874826,79.28589188595235,32.475163924441816,2.0,0.0,3.0,-1,12,0.0,0.0571411629982803,0.1154929577464789,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0
71,5452,佶優,,872.5235923092403,False,34.95,3.252359230924021,57.27448692462597,9.688875556973468,0.0,0.0,1.0,-1,13,0.0,-0.0482361878117822,0.0101156069364163,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong",0
72,4915,致伸,,870.7094950006732,False,73.9,2.070949500067321,56.48973532410042,11.534825603794872,1.0,0.0,1.0,-1,13,0.0,-0.0319629058593096,0.026388888888889,0.0,"macd_golden_cross, above_ema60, volume_break, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, kd_golden_cross, obv_uptrend, williams_r_recovery, cci_momentum, mfi_strong",0
73,8163,達方,,868.9831115732538,False,39.3,1.89831115732538,81.21262868960261,48.866880831085474,0.0,0.0,1.0,-1,12,0.0,0.0440324969769065,0.1023842917251052,0.0,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
74,6146,耕興,,868.0627763233996,False,233.0,2.306277632339964,65.01267022938026,25.74083602470129,0.0,0.0,4.0,-1,12,0.0,0.0080097613158744,0.0663615560640731,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",0
75,5483,中美晶,,867.2196109162553,False,172.0,1.2219610916255328,68.17301466057427,27.827621846329365,2.0,0.0,2.0,-1,11,0.0,0.1077499001670556,0.1661016949152542,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
76,6411,晶焱,,865.052607580019,False,110.0,3.505260758001896,81.1098829396442,36.77461091811147,0.0,0.0,0.0,-1,11,0.0,0.1007630629967959,0.1591148577449945,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
77,6227,茂綸,,864.8686706587575,False,134.5,1.9868670658757577,73.41832078207301,45.26178590072167,0.0,0.0,3.0,-1,13,0.0,-0.0075705447481986,0.05078125,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
78,9105,泰金寶-DR,,861.305156380577,False,8.8,2.1305156380577106,85.28078259342286,38.87604773831192,0.0,0.0,1.0,-1,13,0.0,0.2453519089555051,0.3037037037037038,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",0
79,6435,大中,,860.2571523741486,False,287.5,1.0257152374148646,71.7639517923759,37.20108584889367,0.0,0.0,1.0,-1,11,0.0,0.186236949840546,0.2445887445887447,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
80,6284,佳邦,,859.2324716592803,False,119.5,2.92324716592804,75.47881031466538,42.679096327940776,0.0,0.0,0.0,-1,11,0.0,0.1075018637883866,0.1658536585365853,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",0
