rank,stock_id,name,industry_category,entry_score,entry_signal,close,open,high,low,volume,volume_ratio,rsi14,adx14,atr14,macd,macd_hist,bb_pct_b,stoch_k,stoch_d,ema20,ema60,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,foreign_net,invest_trust_net,dealer_net,f_score,condition_count,margin_change_5d,short_ratio,relative_strength_5d,return_5d,day_return,momentum_score,revenue_yoy,revenue_mom,sma5,sma10,grade,entry_reason,skip_reason,limit_down_streak,kd_level_score,bb_level_signal,gap_to_20d_high_pct,breakout_proximity_score,obv_strength,foreign_buy_accel,invest_trust_accel,expected_hold_days,momentum_decay_signal,estimated_sl_days
24,2401,凌陽,,1447.193436246543,False,31.05,30.35,33.0,30.35,30654029,1.9269794660020203,74.03039534147742,33.08352279362571,1.635039536319012,1.8213824438236337,0.4854656194505906,1.0041529706759835,79.58115183246073,77.33026346222566,26.879258539921445,24.235973986946245,0.0,0.0,0.0,-2619998.0,0.0,-13115.0,-1,13,,,0.0484011879289685,0.154275092936803,0.0315614617940198,41.2,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",long_upper_shadow,,,,,,,,,,,
25,3060,銘異,,1438.2557469453427,False,29.8,28.7,30.5,28.65,7140557,2.644817903027834,57.87959513872184,10.364883227877696,1.355466374769558,-0.1602422304407689,0.2902753666872869,1.0351118952198188,83.90804597701153,79.76422045387638,28.317347928282164,29.202919259221503,0.0,0.0,1.0,-150372.0,0.0,2035.0,-1,13,,,0.0144268468718646,0.1203007518796992,0.0511463844797177,49.4,,,,,B,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong",,,,,,,,,,,,
26,2453,凌群,,1407.1531631022287,False,62.5,65.6,65.6,61.6,8958771,7.70616805965874,77.77135558996488,36.41927520020915,1.7780488534607382,1.4677297959342042,0.7904933950314057,1.2268065072051264,73.27586206896555,81.98626296607775,56.3253108176883,54.94328531718573,0.0,0.0,0.0,-1383142.0,0.0,-2000.0,-1,12,,,0.0367220730543225,0.142595978062157,0.0146103896103895,57.3,,,,,B,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",,,,,,,,,,,
27,2472,立隆電,,1394.7350345191987,False,337.5,337.0,337.5,328.5,12343744,0.9898619046243384,85.8196306375089,58.07086479726822,19.022424493555235,34.51039658748033,8.623864152059436,1.1292468759626264,100.0,97.03196347031978,242.10981435610668,187.672003672036,2.0,4.0,0.0,2034700.0,304000.0,-111882.0,-1,12,,,0.2176555067568713,0.3235294117647058,0.0993485342019544,38.5,,,,,B,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
28,2303,聯電,,1381.8950589845508,False,143.5,139.5,143.5,138.5,280261963,1.0351833809731723,82.30831968334144,49.26024530523219,7.981691627004357,14.882355517604836,2.834509176894782,1.0677219815244634,100.0,97.1181556195964,106.93918404566548,84.2158768087821,3.0,0.0,0.0,21529967.0,-19010829.0,-598211.0,-1,12,,,0.2228297986958691,0.3287037037037037,0.0996168582375478,39.0,,,,,B,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
29,3189,景碩,,1377.53441261304,False,702.0,726.0,764.0,693.0,30662886,1.040408568195945,77.89054109358027,33.432003146149526,45.94435151289614,58.83825281777399,17.153505194203035,1.0829268904105065,79.60526315789474,90.24165142586207,551.8092140523772,441.8718180272957,0.0,9.0,0.0,-1728800.0,869191.0,-143950.0,-1,12,,,0.2869832378493082,0.3928571428571428,0.0086206896551723,40.6,,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",,,,,,,,,,,
30,3711,日月光投控,,1374.445928417376,False,642.0,641.0,669.0,626.0,30005707,1.0850555687963408,72.79047675541545,39.308813650364286,35.13080200360843,38.62067690411811,7.009199356438803,1.087929445414907,86.76470588235294,90.71494094713974,536.5786816406196,454.0122379312781,1.0,0.0,1.0,833804.0,-673952.0,46030.0,-1,12,,,0.2428655907904848,0.3487394957983194,0.0507364975450082,39.9,,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",long_upper_shadow,,,,,,,,,,,
31,3042,晶技,,1372.9365665806267,False,198.0,220.0,221.5,192.0,28448686,1.7292525387975042,72.04093488347762,27.44764790965123,14.431198391580756,14.10226448239166,3.957382891091143,1.0271870998188195,71.8562874251497,86.56470842099588,163.26762509800585,135.9739422197258,0.0,2.0,0.0,-6483476.0,1343000.0,-285836.0,-1,12,,,0.2319639328300033,0.3378378378378379,-0.0246305418719211,55.5,,,,,C,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",,,,,,,,,,,
32,3321,同泰,,1369.7887091062487,False,19.05,18.45,19.3,17.85,2174519,4.054302001935122,70.22003602916789,25.32327566611235,0.836774449038703,0.2628232412857691,0.3029684536703565,1.2139685409780625,94.11764705882354,91.73290937996838,16.473850433826737,16.549209863833177,0.0,0.0,0.0,-368051.0,0.0,-7359.0,-1,12,,,0.1392241342078517,0.2450980392156863,0.0467032967032967,75.0,,,,,C,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,,,,,,,,,,,
33,3044,健鼎,,1366.5292661441792,False,524.0,520.0,536.0,511.0,5547855,1.0406792023641966,65.70000705391783,38.41256732402356,24.649204074779,19.73831509988884,-0.4584074885465945,0.947942958895414,85.36585365853658,64.81892091648236,481.11728238911365,433.2129812489237,3.0,0.0,5.0,561086.0,-38000.0,74558.0,-1,12,,,0.0270990679651383,0.1329729729729729,0.0274509803921567,19.4,,,,,C,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",long_upper_shadow,,,,,,,,,,,
