rank,stock_id,name,industry_category,entry_score,entry_signal,close,open,high,low,volume,volume_ratio,rsi14,adx14,atr14,macd,macd_hist,bb_pct_b,stoch_k,stoch_d,ema20,ema60,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,foreign_net,invest_trust_net,dealer_net,f_score,condition_count,margin_change_5d,short_ratio,relative_strength_5d,return_5d,day_return,momentum_score,revenue_yoy,revenue_mom,entry_reason,skip_reason,limit_down_streak
30,5274,信驊,,1018.8092658744184,False,18950.0,19000.0,19510.0,18615.0,686513,1.8809265874418404,64.48701746304928,35.045722923449844,1133.7615744274483,815.6385765843006,-18.167717050286456,0.9313960614529606,87.18535469107552,83.45249395368592,17112.867695019904,14604.937245158751,1.0,0.0,3.0,143817.0,-47369.0,2962.0,-1,14,0.0,0.0,0.007452479717493,0.0658042744656917,0.0625175217269413,35.2,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, dealer_buy_3d, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud","long_upper_shadow, open_high_close_low",0
31,6922,宸曜,,1018.1692756565582,False,199.0,195.0,201.0,194.0,504381,1.8169275656558217,65.05773679251966,33.95215132013723,8.40726471700338,5.845464788251178,0.4864392985644334,1.1026309311785745,83.6734693877551,59.42787371358827,185.0054150843199,175.14706764486584,0.0,0.0,0.0,-17402.0,0.0,-3844.0,-1,14,0.0,0.0,0.0029815385851346,0.0613333333333332,0.0418848167539267,30.6,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,0
32,6605,帝寶,,1015.0,False,146.0,150.5,150.5,143.5,4018620,6.661267308666467,73.75238284741236,23.05451413912504,4.093690562870098,1.6217842481395053,1.6052259753693332,1.3556747268275553,80.43478260869566,63.478260869565325,132.02889895833687,133.38332315204764,0.0,0.0,5.0,-349540.0,0.0,28482.0,-1,13,0.0,0.0,0.0647251283287244,0.123076923076923,0.0391459074733095,61.4,0.0,0.0,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",0
33,6274,台燿,,1007.1621076396236,False,1690.0,1615.0,1690.0,1610.0,9687712,1.7162107639623645,71.25610263066514,40.44013462649838,113.0910828819632,161.05341504101534,12.1355001984314,0.9655338624627594,91.74311926605505,78.8990825688076,1384.581686156654,1051.687771506917,1.0,6.0,0.0,80409.0,977000.0,-30603.0,-1,13,0.0,0.0,0.1031602327432104,0.161512027491409,0.0974025974025973,47.3,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, invest_trust_buy_2d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,0
34,8454,富邦媒,,1003.9136423907256,False,231.0,219.0,231.0,216.0,3691482,3.391364239072547,77.09125119419517,32.38275084526154,7.87251479795866,7.059747649046898,2.859024283358964,1.3455426029749091,100.0,75.43859649122835,194.02812724588503,188.8357696760196,0.0,0.0,8.0,-143016.0,-17000.0,2063.0,-1,13,0.0,0.0,0.1479145237896604,0.206266318537859,0.1,74.8,0.0,0.0,"above_ema60, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,0
35,6446,藥華藥,,999.820043679522,False,930.0,870.0,934.0,868.0,5399400,1.4820043679522004,78.90328922167393,39.51472783470554,37.45067412408606,58.923513542663954,11.987605064525615,0.967364485942699,97.48427672955977,77.1756099736831,794.1925704488996,711.2770331745799,9.0,5.0,1.0,1016946.0,149929.0,2651.0,-1,13,0.0,0.0,0.0897963533999495,0.1481481481481481,0.0788863109048723,36.6,0.0,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong, above_ichimoku_cloud",,0
36,8039,台虹,,989.4965577592208,False,162.0,161.0,168.5,156.0,41757020,2.4496557759220674,63.160618732543696,42.5717417902204,10.938034302687146,6.294015607033288,1.766229399694513,1.0008410661235572,84.88372093023256,79.1075817734921,145.36852218690925,130.46757937982986,1.0,0.0,1.0,9225925.0,0.0,89994.0,-1,14,0.0,0.0,0.0144958873710066,0.0728476821192052,0.0553745928338762,48.8,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",long_upper_shadow,0
37,3528,安馳,,988.9392666460116,False,117.5,122.5,122.5,104.0,5404264,3.893926664601152,81.63899652556712,47.370629046011416,6.025908030436024,8.382132941651918,2.9132612869058967,1.17172495812043,87.89346246973365,95.96448748991132,91.4524953282341,80.03177824754874,0.0,0.0,0.0,-401339.0,0.0,-34618.0,-1,13,0.0,0.0,0.19431345045436,0.2526652452025586,0.0352422907488987,77.7,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",open_high_close_low,0
38,8105,凌巨,,985.8154229608864,False,17.55,17.1,17.9,16.85,9756849,1.081542296088641,69.11378425377525,36.516766177770585,0.9061706344317336,0.897408185691221,0.1362886203499484,0.8591807644335689,69.56521739130433,54.6698872785831,15.803919831480531,14.423596848172773,4.0,0.0,0.0,2358058.0,0.0,-1000.0,-1,14,0.0,0.0,-0.049731105093026,0.0086206896551725,0.0572289156626506,9.4,0.0,0.0,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending, kd_golden_cross, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",,0
39,6116,彩晶,,984.4558520237184,False,17.1,16.5,17.1,15.75,289351189,1.9455852023718403,86.77908521888466,46.19337325274279,0.8991419776306575,1.6589744287981318,0.6563327832095642,1.1280894963976245,100.0,95.60129449838192,11.881019090964314,10.021094376071396,2.0,0.0,3.0,4366136.0,0.0,918159.0,-1,14,0.0,0.0,0.3846861799353458,0.4430379746835444,0.0996784565916399,56.8,0.0,0.0,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,0
